symbol,personality,trades,expectancy,median_ret,win,avg_win,avg_loss,edge,strat_cagr,bh_cagr,beta,vol_ann,ER,autocorr1,last_px,dollar_vol
ANF,Mixed,123,0.1707371451174179,0.0100174783837946,51.21951219512195,0.4552395367117611,-0.1279903660566424,0.2358062693503047,0.5285929832545555,0.2927867139042508,1.316333361081223,0.6024062103489147,0.2691378791504215,-0.0267382471128279,87.23999786376953,80569178.7864685
GEO,Erratic/Manipulated,126,0.1868457424787455,0.0247902278323942,55.55555555555556,0.4417988914305721,-0.1318456937110377,0.1650234852568484,0.3887632549788873,0.2237397697220389,0.8198201026846134,0.5527829157208922,0.2372023210076771,0.0009452834804097,29.280000686645508,23406135.43548584
FUBO,Erratic/Manipulated,122,0.0304476874890717,-0.0843928329478708,40.16393442622951,0.4080871176303359,-0.2230363135646536,0.161827322195342,-0.3246239097997043,-0.4864512319950463,1.9440160673703877,1.4051549330393294,0.2430556434828178,0.0514502429829438,9.220000267028809,34670548.90394211
SLG,Erratic/Manipulated,130,0.0858981988423049,0.0117790571503524,52.307692307692314,0.2519086229133898,-0.0961777501388849,0.1428603259111738,0.1060845560793661,-0.0367757698318076,1.2542134142405854,0.460491838007477,0.2197547939534968,-0.0206004891541184,50.560001373291016,54684672.65625
BBBY,Erratic/Manipulated,123,0.009136047307785,-0.0742819013306407,42.27642276422765,0.277315972410574,-0.1872774189646801,0.138050662703189,-0.2092903897184433,-0.3473410524216324,1.9601436992316343,0.8578312631257313,0.2557203213188624,0.0018659127290732,5.929999828338623,35333004.529953
AGNC,Clean Trender,120,-0.0038067037007177,-0.0138727348748415,41.66666666666667,0.0740317607798831,-0.059405606901147,0.1308455660795427,0.0626258712377527,-0.06821969484179,0.7680349103062686,0.2475321075511089,0.2396070987975418,0.0307739285841821,10.380000114440918,125279693.70422363
RH,Erratic/Manipulated,125,-0.0057703791002304,-0.022211518536149,48.8,0.1404576901486642,-0.1451440076030831,0.12054285731154,-0.0658598483355163,-0.1864027056470564,1.850040788818592,0.5960569675069974,0.2394596195195571,-0.0435191170450285,148.08999633789062,192753583.2824707
APPS,Erratic/Manipulated,116,0.0513731103037146,-0.1571358999230973,31.896551724137932,0.6142204349520808,-0.2122389278227352,0.1200794993927798,-0.1184536260378206,-0.2385331254306004,2.609225366577059,1.0708003023888657,0.2846876787245782,0.0521142506076907,8.609999656677246,24630867.111063004
LBRDK,Clean Trender,129,-0.0161416697049214,-0.0720520302314005,36.434108527131784,0.1228343846867629,-0.095798676490399,0.1189325462481031,-0.1375028828007919,-0.256435429048895,0.8237595392452007,0.3859810044452231,0.2510702969378704,0.0355547985901481,29.6200008392334,88170783.09918213
CGNX,Mixed,124,0.0280788789934109,0.0078115928625059,50.0,0.1312619334328485,-0.0751041754460266,0.1163305719752736,0.0781491014254764,-0.0381814705497971,1.3726849282019815,0.4194485411426361,0.2463356386098525,-0.0139233684146649,66.0999984741211,48763636.403274536
RPD,Clean Trender,124,-0.0686426455647578,-0.0894305423308211,19.35483870967742,0.1468038348893203,-0.1203498008737366,0.1113956200047988,-0.2430948135779962,-0.3544904335827951,1.2836984543544885,0.509791972604285,0.2522211942057834,0.0713372996454061,6.730000019073486,32581079.57725525
CHTR,Clean Trender,132,-0.0251628241058885,-0.081115626702332,31.060606060606062,0.143067611871735,-0.1009589546013013,0.1106791354461754,-0.1461418409027808,-0.2568209763489563,0.7840653462284648,0.3735699344867789,0.2454667461117803,0.0530465435201812,126.2300033569336,475614886.3220215
EL,Mixed,108,-0.0206625996666414,-0.0325368626247997,30.555555555555557,0.1264148496204009,-0.08537667735294,0.1088005599575487,-0.0658575088184354,-0.1746580687759842,1.2505448218876478,0.4118191283999266,0.2535463285698728,-0.0455562070832415,84.80999755859375,325480154.94918823
CNK,Erratic/Manipulated,112,0.0235327283816657,-0.0359463052127594,38.392857142857146,0.2012045999558748,-0.087190322019653,0.1022695058201128,0.2606712675312341,0.1584017617111213,0.92865723961929,0.5349571094254475,0.2657031636327349,-0.0135348673156066,33.7599983215332,55612062.715148926
CHPT,Erratic/Manipulated,133,-0.1364968271793211,-0.1820083397976607,18.79699248120301,0.1370411503260511,-0.1998158034537128,0.095257439191166,-0.4509538834619367,-0.5462113226531028,1.9076372108467152,0.816643247902592,0.2312011450173945,0.0536319861852211,8.3100004196167,47932358.32019806
NVAX,Erratic/Manipulated,133,-0.0712981082486713,-0.1701826703785667,18.045112781954884,0.5340824704684816,-0.2045929145717141,0.0941006196257158,-0.2845993218389969,-0.3786999414647127,1.648369363625259,1.0932994932090383,0.2312311751002253,0.0766781081686437,9.130000114440918,79597081.87866211
FIVE,Mixed,121,0.0729748202784136,-0.0120547362766855,49.586776859504134,0.2596357462881782,-0.1106260905508629,0.0903388923658847,0.1226540443736738,0.0323151520077891,1.3054225373009003,0.4618743049121241,0.2354366076135872,-0.059167471206186,194.05999755859375,134041979.89501952
CHWY,Erratic/Manipulated,117,-0.0026125593730897,-0.0724452877764282,32.47863247863248,0.2720274955908751,-0.1347179022671488,0.0899884117414387,-0.1724567994494623,-0.2624452111909011,1.426414300124595,0.6080911259410068,0.2413580963810569,-0.0076074360618692,18.209999084472656,183061709.23805237
ALGN,Erratic/Manipulated,110,-0.0287594020518299,-0.0720537647379233,31.818181818181817,0.1721390635696913,-0.1225120193418732,0.0879434098705509,-0.0884990553626502,-0.1764424652332011,1.536977474223295,0.5030017405836874,0.2490859979802719,0.0032329058976675,182.0800018310547,219252822.3495483
